Z,Y,X,A,V
2,2,1,3.14x,2
2,1,1,2a,0
0,2,0,2a,0
2,1,0,1b,1
0,2,1,2a,0
2,2,2,3.14x,2
1,1,0,2a,0
0,1,0,1a,2
0,0,1,1b,2
2,0,2,3.14x,2
2,2,1,2a,0
1,1,1,2a,0
2,0,0,1b,2
1,1,1,2a,2
2,2,1,1a,2
1,1,1,3.14x,0
0,1,0,1a,0
1,1,1,2a,0
0,0,1,1a,0
0,0,0,3.14x,0
2,2,1,2a,0
2,2,2,2a,0
1,1,1,3.14x,2
2,0,2,3.14x,0
0,2,0,3.14x,0
0,2,1,3.14x,0
2,0,2,3.14x,0
2,0,1,1a,0
1,1,1,1b,2
2,0,2,1b,1
0,2,0,3.14x,0
2,2,1,1a,0
2,2,0,1b,2
0,1,1,1a,0
0,0,0,2a,0
2,0,2,2a,0
0,2,0,3.14x,0
2,1,1,3.14x,2
0,1,0,2a,2
2,1,1,2a,0
1,1,0,1a,0
0,0,0,2a,0
2,1,1,2a,2
0,2,1,3.14x,2
2,2,0,2a,0
2,1,0,1a,2
2,2,0,2a,0
0,2,0,2a,0
2,2,1,2a,0
1,1,1,3.14x,0
1,1,0,2a,0
0,0,2,1a,0
2,2,1,3.14x,0
0,0,0,1b,2
2,0,0,1a,2
0,0,1,3.14x,2
0,0,0,2a,2
0,2,2,2a,2
1,1,0,3.14x,0
0,2,0,3.14x,0
1,1,1,2a,0
0,0,2,3.14x,0
0,0,2,1b,2
1,1,1,3.14x,2
0,2,1,1b,2
1,1,1,2a,2
0,0,2,3.14x,0
2,2,1,1b,2
1,1,0,3.14x,0
2,2,0,2a,0
2,0,0,1b,2
2,0,0,3.14x,2
0,1,1,2a,0
1,1,1,2a,0
0,0,2,3.14x,0
0,2,0,2a,0
2,0,0,1a,0
1,1,1,2a,0
1,1,0,3.14x,0
1,1,1,2a,0
0,1,1,2a,0
0,0,1,3.14x,0
0,2,1,2a,0
0,0,0,2a,0
0,0,2,2a,0
1,2,0,1b,2
0,0,0,3.14x,2
1,1,1,3.14x,1
0,2,0,1a,2
1,1,0,2a,0
0,1,1,2a,0
2,0,2,2a,0
0,1,1,2a,0
2,1,0,2a,0
2,2,0,2a,0
2,0,0,2a,2
2,1,1,2a,0
2,1,1,2a,0
0,1,0,3.14x,2
0,0,1,1a,0
0,0,1,2a,0
0,1,1,1a,2
1,2,1,3.14x,2
2,2,0,3.14x,0
2,0,1,3.14x,0
2,1,1,3.14x,0
2,0,1,2a,0
2,2,2,3.14x,0
1,2,2,2a,0
0,2,1,1b,2
2,0,1,3.14x,2
0,2,0,1a,2
1,1,1,3.14x,0
0,2,0,2a,0
0,0,1,2a,0
0,1,2,3.14x,0
1,1,1,1b,2
2,2,2,2a,0
2,0,0,1b,2
2,0,1,3.14x,0
2,1,1,3.14x,0
1,0,0,3.14x,2
0,0,2,2a,0
2,1,1,1a,2
1,1,1,1a,2
1,1,1,1a,2
2,0,0,2a,0
0,0,1,2a,0
0,2,0,1a,0
1,1,1,3.14x,2
0,2,0,2a,0
0,0,0,1a,0
0,2,1,3.14x,0
0,2,1,1a,0
0,0,1,2a,0
0,0,1,3.14x,0
0,0,0,3.14x,0
1,1,1,3.14x,0
0,1,0,2a,0
1,2,1,2a,1
2,2,1,3.14x,0
2,2,0,1b,2
0,0,1,2a,0
0,1,1,1b,2
1,2,1,1a,0
1,1,1,3.14x,2
2,1,1,2a,0
0,0,0,1b,2
0,0,2,1a,0
2,2,1,1b,2
2,1,1,3.14x,2
1,1,1,1b,2
0,2,0,1b,0
1,1,1,3.14x,0
2,0,0,1a,0
0,2,0,3.14x,0
0,1,1,1a,0
0,1,1,1a,2
2,0,2,2a,0
0,0,0,2a,2
1,1,1,3.14x,0
1,1,2,1a,2
0,0,0,1b,2
0,2,0,2a,0
2,2,1,2a,0
2,0,0,1b,2
0,1,0,3.14x,2
0,2,1,1a,0
0,1,1,2a,0
1,1,1,2a,0
0,1,1,1b,2
1,0,2,2a,0
2,2,0,2a,0
2,1,1,1b,2
0,1,1,1b,2
0,1,1,1b,2
0,0,2,3.14x,0
2,0,0,3.14x,0
1,2,0,1b,2
1,1,1,3.14x,2
2,2,0,1a,0
1,2,1,3.14x,0
2,1,1,1b,1
0,0,0,1b,2
2,0,0,2a,0
0,0,1,1a,0
2,2,0,3.14x,0
2,1,0,3.14x,2
1,1,0,2a,0
0,2,1,3.14x,0
0,0,1,1a,0
0,0,1,2a,0
2,2,0,3.14x,2
2,2,0,2a,2
1,2,1,3.14x,0
2,2,1,2a,0
0,0,0,2a,0
0,2,0,1a,0
2,0,1,2a,0
2,1,1,3.14x,2
0,2,0,2a,0
0,0,2,2a,0
1,1,0,2a,2
0,2,2,3.14x,0
2,1,1,2a,0
2,2,1,3.14x,0
2,2,0,1b,2
2,2,0,2a,0
2,2,0,3.14x,0
2,2,0,2a,0
0,0,2,2a,0
0,2,0,2a,0
0,1,1,3.14x,2
1,2,1,3.14x,2
1,2,0,3.14x,0
0,0,2,3.14x,0
2,1,0,1a,2
0,0,0,2a,0
2,0,0,2a,2
0,0,1,3.14x,0
0,2,0,2a,0
2,2,1,2a,0
2,0,1,3.14x,0
0,1,1,1b,2
2,2,0,2a,0
0,2,1,1a,0
2,2,1,1b,2
1,1,1,3.14x,0
0,2,0,1b,2
0,2,0,2a,0
2,0,0,2a,0
2,0,0,2a,0
0,1,1,2a,0
0,0,0,3.14x,2
2,0,0,2a,2
0,2,0,2a,0
2,2,0,3.14x,0
2,1,1,2a,0
2,0,0,2a,0
0,0,1,3.14x,0
2,1,1,1a,2
0,2,1,1a,0
0,2,1,3.14x,0
0,0,1,2a,0
2,1,0,2a,0
2,0,1,2a,0
0,2,0,1a,0
0,1,1,2a,0
2,1,1,3.14x,0
2,0,1,2a,0
0,2,0,2a,0
0,2,1,2a,1
2,0,2,2a,0
2,1,1,1a,2
2,2,1,2a,0
1,2,1,2a,0
0,2,0,1b,2
0,1,0,3.14x,2
2,0,2,2a,0
2,1,1,1a,2
2,2,0,3.14x,0
0,2,0,2a,0
0,0,0,1b,2
2,1,2,2a,0
2,0,0,3.14x,2
0,1,2,3.14x,0
2,2,0,2a,0
0,1,0,2a,0
0,1,1,2a,2
2,1,0,2a,0
1,1,0,2a,0
1,0,0,1a,0
2,2,1,2a,0
2,0,1,2a,0
0,0,1,1b,2
0,0,0,2a,0
2,1,1,1a,2
1,1,1,1a,0
0,2,0,2a,0
2,0,0,2a,2
0,2,0,2a,0
0,2,1,2a,0
2,0,1,1a,0
0,2,1,1b,2
0,2,0,3.14x,2
0,2,1,1b,0
0,1,1,3.14x,2
0,0,2,2a,0
0,1,1,1a,0
0,0,1,3.14x,0
0,1,0,3.14x,0
0,1,0,3.14x,0
0,2,1,2a,0
2,0,2,1a,2
2,2,0,3.14x,2
0,1,1,1b,1
0,1,1,2a,2
2,0,1,2a,2
0,1,1,2a,2
0,0,2,1b,2
0,1,1,2a,2
0,0,2,3.14x,2
0,2,1,1a,2
2,0,0,2a,0
0,2,1,2a,1
0,2,0,2a,0
0,2,1,2a,0
0,0,1,3.14x,0
1,1,1,2a,0
2,1,1,1b,2
2,0,0,2a,0
2,2,0,2a,0
0,2,0,2a,0
0,0,1,3.14x,0
2,2,0,3.14x,2
2,2,1,2a,0
1,1,1,3.14x,2
2,0,2,1b,0
2,1,1,3.14x,2
2,0,0,2a,0
0,1,1,1a,0
0,1,0,2a,0
0,1,1,1b,2
0,2,0,3.14x,0
0,0,2,2a,2
1,2,1,3.14x,0
1,1,1,2a,2
0,2,0,3.14x,0
0,2,1,3.14x,0
2,1,1,2a,2
2,1,1,2a,0
2,1,1,2a,0
0,2,1,1a,0
2,1,0,1a,0
0,0,1,2a,0
0,0,0,2a,0
2,2,0,3.14x,0
0,0,0,1a,0
2,0,0,2a,0
0,1,2,1a,2
0,0,0,2a,0
0,2,1,2a,2
0,0,2,2a,0
0,2,0,3.14x,2
1,1,1,2a,0
0,1,1,2a,2
0,2,2,2a,0
0,0,1,2a,0
1,2,1,3.14x,2
0,0,0,1b,2
0,2,1,2a,0
0,2,1,2a,0
0,0,2,3.14x,0
2,2,1,3.14x,2
2,0,0,1b,2
2,0,0,1a,2
0,2,1,3.14x,2
0,0,1,2a,0
2,1,1,3.14x,2
2,0,1,1a,0
0,2,0,2a,0
0,2,0,3.14x,0
0,1,1,2a,0
0,0,1,1a,2
0,1,0,2a,0
0,2,2,2a,0
0,0,0,3.14x,2
2,2,2,3.14x,0
1,1,1,3.14x,2
2,0,1,1a,0
0,0,1,1a,0
1,0,1,1a,0
2,0,1,1a,2
0,2,0,3.14x,0
0,1,1,3.14x,2
1,0,1,2a,0
2,0,1,3.14x,0
0,2,0,2a,0
2,1,1,2a,0
0,0,2,3.14x,0
1,2,2,1b,1
0,2,1,1a,0
0,0,2,1a,0
0,0,1,3.14x,0
0,0,2,3.14x,0
2,0,0,3.14x,0
0,0,1,2a,0
0,0,0,1a,2
0,0,1,1a,0
2,0,0,2a,0
2,0,0,3.14x,2
1,2,0,1b,2
0,2,0,1b,1
0,1,1,2a,2
2,0,0,3.14x,2
1,0,2,2a,0
2,0,0,1b,0
1,1,1,1a,2
1,1,2,3.14x,0
0,2,2,2a,0
2,2,1,3.14x,2
2,0,2,3.14x,0
2,2,1,3.14x,0
1,1,0,1b,2
0,0,0,1b,2
0,0,1,3.14x,2
2,2,0,2a,0
0,0,0,2a,0
2,2,0,2a,0
0,2,2,3.14x,2
0,2,0,3.14x,2
0,0,1,3.14x,0
2,2,0,2a,0
1,1,1,3.14x,2
2,2,1,1a,0
0,0,2,1b,1
1,1,1,3.14x,2
2,0,1,2a,0
0,2,2,2a,0
0,2,1,2a,0
0,0,1,2a,0
0,1,1,3.14x,0
0,1,1,1a,0
0,0,0,2a,0
2,0,0,2a,0
2,0,0,2a,0
1,1,0,3.14x,0
0,2,0,1b,1
2,0,1,3.14x,0
0,2,1,2a,0
2,0,0,1a,2
1,1,1,2a,0
2,2,0,2a,0
0,1,1,1a,2
2,0,0,2a,1
1,1,1,3.14x,2
2,1,1,1b,2
2,1,1,3.14x,0
2,0,2,3.14x,0
0,0,0,1b,2
0,0,1,2a,0
0,0,0,1b,2
0,0,1,3.14x,0
0,1,1,3.14x,2
0,0,2,2a,0
0,1,1,3.14x,0
2,2,1,1a,0
2,2,2,2a,0
0,0,0,3.14x,2
0,0,1,2a,0
2,0,0,2a,0
0,2,0,1b,2
0,2,1,2a,0
0,0,0,2a,0
2,0,1,2a,0
0,2,0,2a,0
0,0,0,1a,0
0,2,1,1b,2
1,1,0,2a,0
0,2,2,1b,2
2,0,0,3.14x,2
0,0,0,3.14x,1
0,2,0,2a,0
0,0,0,1a,0
0,1,1,3.14x,0
0,2,1,2a,0
2,1,1,1b,2
1,1,1,3.14x,0
0,0,0,3.14x,2
0,2,2,1b,2
1,2,2,1a,2
0,1,2,3.14x,0
2,2,2,2a,0
2,0,0,1a,2
1,1,1,2a,0
0,1,1,1b,2
0,0,1,2a,0
1,1,1,2a,0
0,0,0,3.14x,2
0,1,1,1a,0
1,2,0,3.14x,2
2,2,1,3.14x,2
0,0,2,1a,0
2,2,0,2a,0
2,0,0,3.14x,0
2,0,1,2a,0
0,0,0,2a,2
2,2,1,2a,0
0,2,0,3.14x,0
0,0,1,2a,0
0,0,0,3.14x,2
0,0,2,3.14x,2
2,2,1,1b,2
2,0,2,1b,2
1,2,1,1a,0
2,2,1,1b,2
2,0,0,2a,2
0,1,1,3.14x,0
2,2,0,1a,0
0,1,1,2a,0
2,2,1,3.14x,0
0,0,2,3.14x,0
0,2,1,2a,0
0,0,1,2a,0
2,1,1,3.14x,0
2,2,0,2a,0
0,2,0,1b,2
0,2,2,1a,0
0,0,1,3.14x,0
0,1,1,2a,0
0,2,2,2a,2
1,0,0,3.14x,2
0,2,1,2a,0
0,1,1,3.14x,2
2,2,0,3.14x,2
2,2,0,1a,0
1,2,1,3.14x,0
0,1,1,3.14x,2
2,2,2,1b,2
2,2,2,1a,2
0,1,0,2a,0
2,0,0,2a,0
0,2,0,2a,0
0,1,1,2a,2
1,1,1,1a,2
2,2,0,2a,0
0,0,0,2a,0
2,2,0,2a,0
1,2,0,2a,0
1,0,2,3.14x,0
0,0,2,3.14x,2
0,2,1,1a,2
1,1,1,3.14x,2
0,2,1,2a,0
0,2,0,2a,0
2,0,0,3.14x,2
1,1,1,1b,2
1,1,1,2a,0
1,1,0,2a,0
2,0,1,3.14x,0
0,0,2,1b,2
0,0,0,1b,2
2,2,0,1b,2
1,1,1,2a,0
2,0,2,1a,0
1,1,2,1b,2
0,0,2,3.14x,2
2,1,1,1a,2
0,2,0,3.14x,0
2,0,2,2a,2
1,1,0,3.14x,0
0,1,1,2a,0
0,0,0,1a,2
2,0,1,2a,0
0,0,2,1b,0
2,1,1,2a,0
0,0,0,3.14x,0
2,0,1,1a,0
0,0,2,2a,0
2,0,2,3.14x,2
2,0,1,2a,0
2,0,0,2a,0
0,1,0,1b,1
2,1,0,2a,0
0,2,1,2a,0
1,2,1,2a,0
2,0,2,2a,0
1,1,1,2a,0
2,1,1,2a,2
1,1,0,1a,0
2,0,2,2a,0
2,2,1,1b,2
0,2,0,2a,0
2,1,0,3.14x,0
0,1,1,1a,0
2,2,0,2a,2
2,0,2,1b,2
0,1,1,1a,2
0,0,1,3.14x,0
1,0,0,3.14x,2
2,0,2,1a,0
2,0,0,2a,2
0,1,0,3.14x,0
1,1,0,2a,0
2,1,0,2a,0
2,1,2,3.14x,1
1,1,1,1b,2
0,2,1,2a,0
2,0,0,3.14x,0
2,1,0,2a,0
0,0,1,3.14x,0
2,1,1,2a,0
0,1,1,3.14x,2
0,1,2,3.14x,0
0,1,0,2a,0
0,1,0,2a,0
0,0,0,3.14x,0
1,1,1,2a,0
2,1,1,1b,2
0,1,1,2a,2
2,2,1,1a,0
2,1,0,2a,0
2,0,1,3.14x,0
2,0,0,3.14x,0
0,0,2,3.14x,2
0,2,0,2a,0
0,2,1,2a,2
0,1,0,1b,2
2,2,1,1b,1
1,1,1,1b,0
2,2,1,1a,0
2,1,0,2a,0
0,0,2,1a,0
0,2,1,3.14x,0
2,0,2,1a,0
2,2,0,1a,0
2,0,2,1b,2
2,0,2,2a,2
0,2,0,2a,0
2,0,2,3.14x,2
1,1,1,3.14x,2
2,0,2,2a,0
0,1,0,2a,0
0,2,0,2a,0
0,1,1,3.14x,2
0,1,1,3.14x,0
2,1,1,2a,0
2,0,1,3.14x,0
2,0,1,3.14x,2
0,2,0,3.14x,0
0,0,1,2a,0
0,2,1,2a,2
0,2,0,2a,0
0,2,1,2a,0
2,2,1,2a,0
2,2,1,2a,0
0,0,1,2a,0
2,1,0,1a,0
2,1,2,1b,2
0,1,1,1a,0
0,1,0,3.14x,0
0,1,1,3.14x,0
2,0,1,2a,0
0,1,1,1b,2
0,2,2,3.14x,0
0,0,1,1a,0
2,1,1,3.14x,2
0,1,1,2a,0
0,1,0,1b,2
2,1,1,1b,2
2,1,2,2a,0
0,0,1,2a,0
2,1,1,2a,2
0,0,1,2a,0
1,1,1,1b,2
2,0,0,1b,2
0,2,0,2a,0
0,2,0,1a,2
2,2,1,1a,2
2,0,2,3.14x,0
0,1,2,2a,0
0,2,1,3.14x,0
2,2,2,3.14x,2
0,0,0,1b,1
1,1,1,2a,0
2,0,0,3.14x,0
0,2,1,3.14x,0
2,0,0,1b,2
2,0,0,1b,2
0,2,0,2a,0
0,0,0,3.14x,0
1,0,1,3.14x,0
1,2,0,3.14x,0
1,1,0,1b,1
1,1,2,3.14x,0
0,1,0,2a,2
0,0,2,2a,0
0,2,1,2a,0
0,0,0,1a,0
0,2,0,2a,0
0,2,0,2a,0
0,0,2,1a,0
2,1,0,1a,0
0,0,1,1a,0
0,0,2,1a,0
2,0,0,1b,2
2,1,1,3.14x,2
1,1,0,3.14x,0
1,1,1,3.14x,2
2,0,2,2a,2
2,2,0,3.14x,0
2,2,1,2a,0
0,0,1,3.14x,0
0,2,1,2a,0
1,2,0,3.14x,0
0,1,1,3.14x,0
0,1,1,3.14x,0
2,2,0,2a,0
0,0,2,2a,0
0,0,0,2a,0
0,2,2,1b,2
2,0,0,2a,0
2,1,0,3.14x,0
0,0,2,2a,0
0,2,0,2a,0
2,0,2,2a,2
0,2,0,1a,0
2,2,0,3.14x,0
2,2,2,3.14x,0
0,2,0,1a,0
0,2,2,3.14x,0
0,0,1,2a,0
0,1,0,2a,0
2,1,1,1b,2
2,2,1,1a,0
2,1,1,3.14x,0
2,0,1,2a,0
0,2,0,1b,2
2,2,0,2a,0
0,2,1,3.14x,0
0,0,2,2a,0
0,0,0,1a,0
0,0,1,2a,1
2,1,0,1b,2
0,2,1,3.14x,0
2,0,2,1b,2
2,2,0,1a,2
2,2,1,2a,0
1,1,1,2a,2
1,2,2,2a,0
0,0,0,1a,0
1,2,0,2a,0
0,1,1,2a,2
2,2,1,2a,0
0,1,0,3.14x,0
2,2,2,3.14x,0
1,1,1,3.14x,2
2,1,1,1a,2
0,0,2,3.14x,0
2,0,2,1a,0
2,1,1,3.14x,0
1,1,1,2a,0
1,1,1,3.14x,0
2,0,1,2a,0
0,2,0,3.14x,2
2,0,1,3.14x,0
2,0,0,1b,2
0,1,1,3.14x,0
0,2,0,1b,2
0,2,0,3.14x,0
0,1,1,3.14x,2
1,0,1,3.14x,0
0,1,1,2a,0
2,0,0,2a,0
0,0,1,2a,0
0,1,1,2a,0
0,0,0,2a,0
0,0,1,1b,2
1,0,0,3.14x,0
0,1,1,3.14x,2
0,2,1,2a,0
1,0,1,1a,0
2,2,0,3.14x,2
2,1,1,1a,0
2,1,2,3.14x,0
2,0,2,2a,0
2,1,0,3.14x,2
0,0,2,2a,0
0,2,0,2a,0
2,1,1,3.14x,0
2,1,1,1b,2
2,1,0,2a,0
2,0,1,2a,0
0,2,0,2a,0
0,0,0,3.14x,0
2,2,0,1a,0
2,2,1,1a,2
1,1,0,1a,2
0,2,1,3.14x,0
0,0,2,2a,0
0,2,1,2a,0
0,0,2,3.14x,0
2,1,1,1b,2
2,1,1,3.14x,0
2,1,1,2a,0
1,1,1,2a,0
2,2,1,1b,0
2,2,0,1b,1
2,1,1,2a,0
0,2,0,2a,0
2,1,1,1a,0
0,0,0,1a,2
0,1,0,2a,0
0,1,1,1b,2
0,1,0,3.14x,0
0,2,1,3.14x,0
2,1,1,1b,2
0,0,2,2a,0
0,2,0,3.14x,0
2,0,2,2a,0
0,0,0,1a,0
0,0,0,2a,2
1,2,1,2a,0
0,0,1,1a,0
0,1,0,1b,2
0,0,0,1a,2
2,1,1,1a,0
0,1,1,2a,0
0,2,0,3.14x,2
2,1,1,2a,0
0,0,0,1b,2
0,2,2,1a,2
2,2,0,1a,2
0,0,0,2a,0
1,1,1,3.14x,2
1,0,0,2a,0
2,2,1,2a,0
1,1,0,2a,0
2,1,1,1b,1
2,0,1,2a,0
1,1,1,3.14x,2
1,1,2,3.14x,2
0,0,1,2a,0
0,2,1,3.14x,0
2,2,1,2a,0
1,1,1,2a,0
2,0,1,3.14x,2
2,2,1,3.14x,0
0,0,0,1a,2
2,1,1,2a,0
1,1,1,2a,2
1,1,0,1b,2
2,1,1,3.14x,0
2,0,0,1b,2
2,0,2,1b,2
2,2,1,2a,0
0,0,2,1a,0
2,0,2,2a,0
1,1,2,2a,0
2,0,1,1b,0
1,2,2,1b,2
2,1,1,1b,2
0,0,0,1b,2
2,0,2,3.14x,2
0,1,1,3.14x,2
2,1,1,2a,0
0,1,1,2a,2
1,1,0,1b,2
0,2,1,3.14x,1
0,0,1,1a,0
0,2,1,1a,0
2,2,2,1a,2
0,2,0,1a,0
0,0,0,1b,1
2,1,0,3.14x,0
2,1,1,3.14x,2
2,2,2,2a,2
0,0,0,2a,0
2,2,0,1b,2
1,2,2,2a,0
1,2,1,2a,0
0,2,2,3.14x,0
1,1,0,1b,1
2,1,1,3.14x,0
0,2,2,3.14x,0
1,2,0,2a,0
2,1,1,2a,2
0,2,1,3.14x,0
2,0,0,2a,0
0,2,1,2a,0
1,1,0,1a,0
0,0,2,3.14x,0
2,1,1,2a,0
2,1,0,3.14x,2
2,2,0,2a,0
2,0,0,2a,0
2,1,1,1a,2
0,2,1,2a,0
2,0,2,2a,0
0,2,0,2a,2
0,2,1,2a,0
0,2,0,3.14x,0
0,0,0,2a,0
2,2,1,2a,0
2,0,2,1b,2
1,1,1,2a,0
0,0,2,2a,0
2,2,1,1b,1
0,2,1,3.14x,0
1,0,0,1a,2
2,2,1,1a,0
0,0,1,2a,0
0,1,1,3.14x,0
0,1,2,1a,2
2,0,0,3.14x,2
0,1,1,3.14x,2
0,2,1,3.14x,0
2,1,1,3.14x,2
1,1,1,2a,1
0,2,0,1b,2
2,2,1,2a,1
1,1,1,3.14x,2
0,0,0,1b,2
0,2,2,3.14x,0
0,0,1,1a,0
1,0,1,2a,0
0,2,1,3.14x,0
0,0,1,2a,2
1,1,1,1a,2
1,1,0,3.14x,0
2,1,1,1b,2
1,1,0,1a,2
0,1,1,2a,0
0,2,0,2a,0
2,2,0,2a,0
1,1,1,3.14x,2
2,1,1,1b,2
2,2,1,3.14x,2
0,0,1,1a,0
2,0,0,3.14x,0
0,2,2,2a,0
0,0,2,1b,1
0,0,2,1a,0
0,0,1,1a,0
0,2,1,3.14x,2
0,1,1,1a,2
0,1,1,3.14x,0
2,1,0,1a,0
1,2,0,3.14x,0
0,2,2,2a,0
2,0,2,3.14x,2
0,2,1,3.14x,0
0,1,0,1b,2
0,0,0,1b,2
0,2,0,3.14x,0
2,0,1,2a,0
2,1,1,3.14x,0
0,2,0,1b,0
0,2,1,2a,0
0,1,2,3.14x,2
2,1,1,1b,2
2,2,0,3.14x,0
0,1,1,1a,2
0,1,1,3.14x,0
1,1,1,3.14x,0
2,1,1,2a,0
1,1,1,2a,0
2,1,1,1a,0
2,1,1,2a,0
0,2,0,2a,0
0,0,2,2a,2
0,1,1,3.14x,0
0,0,0,1b,2
0,0,2,1b,2
2,0,2,3.14x,2
1,1,1,3.14x,0
0,1,1,1b,2
2,2,0,3.14x,0
2,1,1,1a,2
0,2,2,3.14x,0
0,2,0,2a,0
0,0,1,3.14x,0
2,0,0,2a,0
0,2,2,1a,2
0,0,2,1a,0
2,0,1,3.14x,0
0,2,1,3.14x,2
2,0,1,1a,0
2,1,1,3.14x,0
0,2,2,1a,2
0,2,0,2a,0
2,0,2,3.14x,0
0,0,2,2a,0
2,0,0,1b,2
2,2,1,3.14x,0
1,0,0,3.14x,0
0,1,1,3.14x,2
0,2,0,3.14x,0
1,1,1,3.14x,0
2,1,1,1b,2
0,0,0,1a,0
0,2,1,2a,0
0,0,1,3.14x,0
2,1,0,2a,0
0,0,2,2a,0
2,0,0,3.14x,2
2,0,2,2a,0
0,2,0,2a,0
0,0,2,1b,2
2,0,0,3.14x,2
2,2,1,2a,0
0,2,1,2a,0
2,1,2,3.14x,2
2,1,2,1b,2
0,0,1,3.14x,0
0,1,1,1a,0
0,0,1,1a,2
2,0,2,2a,0
1,1,2,1b,2
1,1,1,1a,2
0,2,2,1b,2
2,0,2,1a,2
2,1,1,3.14x,0
2,0,1,2a,0
0,0,1,1a,2
0,0,1,3.14x,0
2,2,1,2a,0
0,0,0,2a,2
1,1,0,1a,2
0,1,1,3.14x,1
2,2,0,1a,2
2,0,2,3.14x,0
0,2,0,1b,2
0,2,0,2a,0
0,1,1,2a,0
2,0,1,1a,0
2,1,1,2a,0
2,1,1,3.14x,0
0,2,1,1a,0
0,0,1,1b,2
0,1,1,1a,0
0,0,2,1a,0
0,2,1,1a,0
2,1,0,1b,1
0,0,0,2a,0
2,1,1,1b,2
2,2,0,3.14x,2
2,1,1,3.14x,1
2,0,0,2a,0
2,2,0,3.14x,0
2,2,0,2a,0
1,2,1,1a,2
0,2,0,3.14x,2
0,2,1,2a,2
0,0,1,1b,2
0,1,1,1b,2
1,2,2,2a,0
2,0,2,3.14x,0
0,2,0,3.14x,2
0,2,1,3.14x,2
2,2,0,2a,0
0,2,0,2a,0
1,2,0,1b,2
1,2,0,1a,0
0,2,1,2a,1
1,1,1,2a,0
2,0,0,3.14x,0
2,1,0,1b,2
2,0,0,1a,2
0,1,0,1a,0
0,0,1,3.14x,0
2,2,0,3.14x,2
0,0,2,2a,2
0,0,0,2a,0
1,1,1,1a,0
0,2,2,1a,0
2,1,1,2a,0
0,2,2,1b,2
0,0,2,1b,2
0,0,0,3.14x,2
0,1,1,3.14x,2
0,1,1,1b,2
0,2,0,1a,2
0,1,1,2a,2
0,1,1,2a,0
2,1,0,2a,2
0,2,1,3.14x,0
0,0,2,1b,2
0,0,1,2a,0
2,1,1,1a,0
0,1,0,2a,0
0,0,0,1b,2
1,1,1,2a,0
0,2,1,3.14x,0
1,2,0,2a,0
0,0,0,1a,2
2,2,1,1b,2
2,0,2,3.14x,2
0,2,1,2a,0
0,2,2,2a,0
0,2,1,1a,0
0,0,2,2a,0
2,0,2,2a,0
2,0,1,1b,2
0,0,1,2a,0
0,0,0,1b,2
0,2,1,1a,0
0,2,0,2a,0
0,1,2,1a,0
0,1,1,3.14x,0
0,2,0,1b,2
2,0,0,3.14x,0
0,1,0,1b,2
1,0,0,2a,0
0,0,1,2a,0
0,0,2,2a,0
0,0,2,2a,0
2,2,0,1b,2
0,2,1,1a,0
0,2,0,3.14x,0
0,0,2,1a,0
0,0,0,3.14x,2
0,2,1,3.14x,0
2,1,1,1a,2
0,1,1,1a,2
0,2,0,3.14x,0
2,2,1,3.14x,0
1,1,1,3.14x,2
1,0,0,2a,0
2,1,0,3.14x,2
1,1,1,2a,0
2,1,1,1a,2
0,1,1,2a,0
0,2,0,2a,0
0,0,1,2a,0
2,0,0,2a,0
0,2,1,2a,0
2,0,0,1b,2
2,1,1,3.14x,2
2,1,1,1b,2
1,1,1,1b,2
0,2,1,3.14x,0
0,1,1,1b,2
1,2,0,2a,0
1,1,1,3.14x,2
0,0,0,2a,0
0,2,1,3.14x,0
0,2,1,3.14x,0
2,0,1,2a,0
2,1,2,1b,2
0,2,1,2a,0
2,0,0,1a,2
1,1,1,3.14x,0
2,1,1,2a,2
2,2,0,2a,0
2,2,1,1a,2
0,0,0,2a,0
0,2,0,2a,0
1,1,0,1b,1
2,0,1,3.14x,0
2,0,2,3.14x,0
0,2,1,1a,0
0,2,0,2a,0
2,0,2,2a,0
1,1,0,3.14x,0
0,0,1,2a,0
2,0,1,1a,0
0,2,0,3.14x,0
1,1,1,2a,0
0,1,0,3.14x,0
0,2,1,2a,0
0,2,0,3.14x,0
2,0,0,2a,0
2,1,0,2a,0
2,1,1,1b,2
0,2,0,2a,0
2,0,0,3.14x,0
2,0,1,2a,0
2,0,1,3.14x,0
0,0,0,3.14x,0
0,0,1,2a,0
1,1,0,3.14x,2
2,2,2,1a,2
0,2,2,1a,0
0,1,0,2a,0
0,1,1,3.14x,0
0,0,2,1a,2
2,0,2,2a,0
0,0,1,1b,2
0,2,1,2a,0
0,0,2,1a,2
2,0,1,1b,1
0,2,0,2a,0
1,1,0,1a,2
0,1,0,3.14x,2
1,1,1,3.14x,0
0,1,2,2a,0
0,0,1,1a,0
2,0,1,3.14x,0
1,1,1,2a,0
0,1,1,3.14x,2
0,1,1,1a,2
2,1,1,2a,0
0,0,1,2a,0
2,0,2,1a,0
0,0,0,1a,2
2,1,0,1a,2
0,0,0,3.14x,0
2,0,2,2a,0
0,2,1,1b,2
0,1,1,3.14x,0
0,2,0,1a,0
0,0,2,2a,0
0,0,1,2a,0
1,2,0,2a,1
0,2,1,3.14x,0
0,2,2,2a,0
1,1,0,1a,0
0,1,1,3.14x,0
0,1,1,2a,2
2,0,1,3.14x,0
1,1,1,2a,0
0,0,1,3.14x,2
0,0,0,1b,2
2,1,1,1b,1
